name: 15be5c49-5377-4757-a408-8150fac602eb num_items: 20002
token, class_id, token_value, token_tf, token_df
4134, @default_class, 1.860915836005006e-05, 52.0, 52.0
4135, @default_class, 1.7893422409542836e-05, 50.0, 50.0
черняховский, @default_class, 4.473355511436239e-05, 125.0, 54.0
пулинский, @default_class, 4.8670106480130926e-05, 136.0, 62.0
священный, @default_class, 7.33630295144394e-05, 205.0, 137.0
4130, @default_class, 2.147210580005776e-05, 60.0, 60.0
хорошевский, @default_class, 6.19112397544086e-05, 173.0, 76.0
вцик, @default_class, 4.544929106486961e-05, 127.0, 91.0
неудача, @default_class, 3.829192428383976e-05, 107.0, 99.0
интервью, @default_class, 0.00011308642569929361, 316.0, 189.0
радомышльский, @default_class, 6.119550380390137e-05, 171.0, 80.0
контора, @default_class, 2.6124394935322925e-05, 73.0, 60.0
специальность, @default_class, 8.946711022872478e-05, 250.0, 196.0
чудновский, @default_class, 4.294421160011552e-05, 120.0, 55.0
критика, @default_class, 0.0001495890028309077, 418.0, 298.0
выделить, @default_class, 0.0001885966630652547, 527.0, 384.0
комбинат, @default_class, 3.9007660234346986e-05, 109.0, 71.0
вооружённый, @default_class, 0.00020470074377954006, 572.0, 329.0
1959, @default_class, 0.00015603064093738794, 436.0, 362.0
лейбл, @default_class, 9.59087410592474e-05, 268.0, 170.0
ii, @default_class, 0.0006552570848725736, 1831.0, 829.0
оборудовать, @default_class, 5.010158201912418e-05, 140.0, 127.0
ю, @default_class, 0.00012489609071053565, 349.0, 218.0
ташкент, @default_class, 3.9007660234346986e-05, 109.0, 60.0
лейтенант, @default_class, 0.000135632129968144, 379.0, 215.0
american, @default_class, 3.220815779059194e-05, 90.0, 62.0
произойти, @default_class, 0.0003127770032733679, 874.0, 679.0
схватка, @default_class, 3.9007660234346986e-05, 109.0, 76.0
подписать, @default_class, 0.0002759165654424578, 771.0, 487.0
области.############код, @default_class, 0.00033603847259655595, 939.0, 939.0
предусмотреть, @default_class, 3.185028981533833e-05, 89.0, 74.0
превышать, @default_class, 7.515236939070746e-05, 210.0, 183.0
полуостров, @default_class, 0.00011308642569929361, 316.0, 229.0
любовь, @default_class, 0.00015674637688789517, 438.0, 286.0
напрямую, @default_class, 4.6165027015376836e-05, 129.0, 108.0
союз, @default_class, 0.0005962087889201939, 1666.0, 1001.0
помещение, @default_class, 0.0001599671959411353, 447.0, 283.0
ежедневно, @default_class, 3.793405267060734e-05, 106.0, 94.0
бассейн, @default_class, 0.00014278950402513146, 399.0, 280.0
относительно, @default_class, 0.00015853572404012084, 443.0, 350.0
княгиня, @default_class, 3.077668588957749e-05, 86.0, 50.0
германия, @default_class, 0.00046308175660669804, 1294.0, 741.0
данные, @default_class, 0.0006237647030502558, 1743.0, 1089.0
человека.############сесть, @default_class, 1.96827641048003e-05, 55.0, 55.0
тихоокеанский, @default_class, 3.292389737907797e-05, 92.0, 72.0
топоним, @default_class, 3.328176535433158e-05, 93.0, 91.0
